latitud,longitud,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,target,Coordinates,geometry
26.76086,-113.65367,-0.0048906107538405135,-0.007471644216695454,-0.008017646324660222,-0.012055830345683407,-0.023373215720839235,0.0008445842260105652,-0.008361655270978539,4,Verde,POINT (-113.65367 26.76086),POINT (-113.65367 26.76086)
26.25615,-112.47136,0.3527523189806483,-0.005576538662423169,-0.01661940880372712,-0.008412997989845608,-0.005071780284499526,0.1051405306879808,-0.010033608370789485,4,Verde,POINT (-112.47136 26.25615),POINT (-112.47136 26.25615)
27.75162,-114.19292,0.0049324587336524225,-0.007181388200228466,-0.012678060493854993,-0.010137962474390232,0.011056186841044249,-0.0004341310275940859,-0.009788940503906083,4,Verde,POINT (-114.19292 27.75162),POINT (-114.19292 27.75162)
27.76011,-114.283,0.10168071935105279,-0.006990584783008994,-0.010567112307783373,-0.012089249038102278,-0.02064165943596664,-0.06196015613456977,-0.009098541319225092,4,Verde,POINT (-114.283 27.76011),POINT (-114.283 27.76011)
27.6475,-114.10713,0.008730144619155684,-0.007074360534055063,-0.01421020953958502,-0.009372398024920884,0.02438333908026092,-0.0009276464043736,-0.01017604517608333,4,Verde,POINT (-114.10713 27.6475),POINT (-114.10713 27.6475)
27.68167,-114.14141,0.10487956259636157,-0.006978698986841984,-0.01058780649358655,-0.012106579057857217,-0.020873262495690357,-0.06388675938547829,-0.009098922327920558,4,Verde,POINT (-114.14141 27.68167),POINT (-114.14141 27.68167)
27.8463,-114.2036,0.0021101060088407736,-0.007249370308996371,-0.01154685721215064,-0.01064606427377098,0.001159731257088839,-6.835887292333787e-05,-0.008837174364602966,4,Verde,POINT (-114.2036 27.8463),POINT (-114.2036 27.8463)
27.86918,-114.27864,0.20207635587509246,-0.006411375480824779,-0.0128086092334324,-0.010376487274019144,-0.016800385600082828,0.044031795895378006,-0.009482391306184921,4,Verde,POINT (-114.27864 27.86918),POINT (-114.27864 27.86918)
27.74018,-113.97281,0.01671502263482916,-0.006849328005177651,-0.017431651122914803,-0.007762749695267384,0.05240453096784449,-0.0019652941196535963,-0.010989957563738046,4,Verde,POINT (-113.97281 27.74018),POINT (-113.97281 27.74018)
26.38214,-112.50886,0.0037431641217381666,-0.5816314857836504,-0.03519203375021976,0.18464785739572773,-0.006409985731714248,-0.0012414369625372407,-0.011248921702958888,4,Amarillo,POINT (-112.50886 26.38214),POINT (-112.50886 26.38214)
23.61961,-109.60857,0.0032800026062014312,-0.3336607935770772,-0.025104370650144203,0.09991614597339273,-0.0022398257623655656,-0.0007869844493200577,-0.004046629489378474,4,Amarillo,POINT (-109.60857 23.61961),POINT (-109.60857 23.61961)
27.29764,-112.89735,0.003101491503502565,-0.24505095826426043,-0.021345099341469012,0.06768592850507509,-0.000866259405736731,-0.0005974189649352672,-0.0104185329340551,4,Amarillo,POINT (-112.89735 27.29764),POINT (-112.89735 27.29764)
26.2298,-112.00876,0.0030170550499351865,-0.1982291136581253,-0.01940394460160758,0.05106318866603937,-8.065176637821379e-05,-0.000509891464346274,-0.010339099342927776,4,Amarillo,POINT (-112.00876 26.2298),POINT (-112.00876 26.2298)
26.15856,-112.12748,0.0023010984199006864,0.0017478306944218255,-0.012319364006277938,0.009612610020458708,0.0020054733514000343,-5.203784219726973e-05,-0.005869862597636482,4,Rojo,POINT (-112.12748 26.15856),POINT (-112.12748 26.15856)
25.1991,-112.12343,0.2808376936269091,-0.00601858771340369,-0.006184621006060352,-0.005868760019367109,0.04189649476388959,0.05908595547405307,-0.008546638880806683,4,Rojo,POINT (-112.12343 25.1991),POINT (-112.12343 25.1991)
24.78773,-112.12122,0.3503869947088702,-0.03439160119926868,0.9719437747155231,0.031043372932868633,0.14455735562303518,0.07867764322283648,-3.5017196494728996e-05,4,Rojo,POINT (-112.12122 24.78773),POINT (-112.12122 24.78773)
24.6799,-112.0109,0.682100655641355,-0.00402824879608154,-0.02128859864752245,-0.006632795187869022,-0.01114138813811423,0.16989003544344758,-0.010827588761993877,4,Amarillo,POINT (-112.0109 24.6799),POINT (-112.0109 24.6799)
24.4793,-111.8176,0.3011180800573207,-0.005647104072968892,-0.01806113391003524,-0.007121440594537151,0.014548235597885812,0.14307279702461043,-0.009957458637664389,4,Verde,POINT (-111.8176 24.4793),POINT (-111.8176 24.4793)
24.63284,-112.13747,0.2711645433862516,-0.006649693974361991,-0.006578822363200901,-0.015532995872500356,-0.07892052441904715,-0.1701088361528968,-0.006342440073977868,4,Verde,POINT (-112.13747 24.63284),POINT (-112.13747 24.63284)
24.54675,-111.74285,0.40900431669875836,-0.006007626357766734,-0.006069066893248044,-0.014031397560447322,-0.1084382079221957,0.09799154751842895,-0.006842532988888624,4,Verde,POINT (-111.74285 24.54675),POINT (-111.74285 24.54675)
26.73946,-113.63021,-0.009866138458981105,-0.007578980340553739,-0.006720228185435365,-0.013018686801370595,-0.0408628345038213,0.0014872910708488335,-0.007162035983610947,4,Verde,POINT (-113.63021 26.73946),POINT (-113.63021 26.73946)
24.40499,-111.55928,0.1522007132484228,-0.006916799604343426,-0.008861171404668777,-0.01336466703342803,-0.042700676145808004,-0.0948161374383467,-0.007901793080274729,4,Verde,POINT (-111.55928 24.40499),POINT (-111.55928 24.40499)
23.39026,-110.21183,0.0021950414141035674,0.1929224061971686,-0.003559652827506238,-0.07871030345661709,0.006089714665395476,0.00025959035840032713,-0.008929637284929182,4,Amarillo,POINT (-110.21183 23.39026),POINT (-110.21183 23.39026)
25.26685,-112.11671,0.3948423185118759,-0.005520159598262284,-0.015312583580900345,-0.009478256367690362,-0.022352378990879895,0.07791402760397267,-0.009794859508467604,4,Verde,POINT (-112.11671 25.26685),POINT (-112.11671 25.26685)
24.16496,-110.31682,0.01966877518689656,-0.0071950901145320595,-0.004086225171466387,-0.0066723255221995,0.06354622361622078,-0.0022907201660240756,-0.011154744578338661,4,Rojo,POINT (-110.31682 24.16496),POINT (-110.31682 24.16496)
24.17006,-110.32484,0.2796166133072097,-0.0056856667458181935,-0.019259733513553607,-0.0067589591243614406,0.02913233059855955,0.11222740455736512,-0.010986634765301368,4,Verde,POINT (-110.32484 24.17006),POINT (-110.32484 24.17006)
24.27517,-110.32851,0.2960314957932326,-0.005723040618438603,-0.017430460758088365,-0.0077547843497095805,0.010384799124444368,0.09907323827577195,-0.009199680073402014,4,Verde,POINT (-110.32851 24.27517),POINT (-110.32851 24.27517)
24.21409,-110.30345,0.4093110349202741,-0.005380217198175924,-0.016182953938956173,-0.008829713633982309,-0.016980747475479292,0.093748031238965,-0.008623529440889526,4,Verde,POINT (-110.30345 24.21409),POINT (-110.30345 24.21409)
24.21853,-110.31084,0.3491785606820337,-0.026453299405648032,0.6949411002455869,0.01797374801453968,0.06981480949211487,0.09315865947154288,-0.003124644816519667,4,Rojo,POINT (-110.31084 24.21853),POINT (-110.31084 24.21853)
24.2243,-110.3137,0.3028996658660936,-0.0059832386649175985,-0.010450441272151527,-0.009115628730333615,-0.013838215058651343,0.07092956529183962,-0.007179489209500047,4,Verde,POINT (-110.3137 24.2243),POINT (-110.3137 24.2243)
24.24291,-110.31742,0.33442470783270817,-0.005685107718183441,-0.019135294870805064,-0.00963966914235445,0.02619957984140621,-0.19373914287791957,-0.01061371300158003,4,Verde,POINT (-110.31742 24.24291),POINT (-110.31742 24.24291)
24.2582,-110.3164,0.41063648222474386,-0.005386192151295704,-0.015514015580964095,-0.008712455527363936,-0.01700041852143295,0.10149130951655969,-0.008458527734914224,4,Verde,POINT (-110.3164 24.2582),POINT (-110.3164 24.2582)
24.26563,-110.32374,0.333661511831955,-0.006530227020328384,-0.004682070579051136,-0.01664801871868584,-0.09786958847576291,-0.2096550773106796,-0.005542022381164045,4,Verde,POINT (-110.32374 24.26563),POINT (-110.32374 24.26563)
24.15676,-110.42535,0.01174881801532492,-0.006989287260942871,-0.015428071601575546,-0.008763872436881147,0.03497671650117665,-0.001319927857711159,-0.010483743761660114,4,Verde,POINT (-110.42535 24.15676),POINT (-110.42535 24.15676)
24.13794,-110.42442,-0.011329426981194808,-0.0076396861553812475,-0.006117319708293105,-0.013416148706733338,-0.04601136249098584,0.0016791271242566441,-0.008131338446121475,4,Verde,POINT (-110.42442 24.13794),POINT (-110.42442 24.13794)
